Gene Group	R1 LPS 0h	R1 LPS 01h	R1 LPS 02h	R1 LPS 04h	R1 LPS 06h	R1 LPS 09h	R1 LPS 12h	R2 LPS 0h	R2 LPS 01h	R2 LPS 02h	R2 LPS 04h	R2 LPS 06h	R2 LPS 09h	R2 LPS 12h
Npepl1	71.75476564	60.09778278	57.13149897	38.45802902	26.40314849	24.94449142	19.86823017	38.4011738	44.55778982	50.3719521	31.69768525	18.19198065	12.50173682	20.66944822
2610101N10Rik	160.5160001	258.0829987	259.9893711	199.3806077	153.8593893	104.130353	131.9387639	483.6370518	663.4200847	431.1386446	465.9296473	264.9813798	403.8725859	398.1251058
Rprd2	17.92158595	20.73235959	15.47679678	11.99412671	15.02164967	14.7263554	14.69092464	31.25368585	29.25688348	21.98205415	18.34790378	17.43890079	34.70138242	23.70261056
Sec24d	22.33380364	16.35398043	11.67302465	9.6018327	9.635430232	13.49655533	12.40140231	6.274432442	9.122493026	9.328701289	7.030687632	8.935454994	4.124655108	7.972321007
Snx1	147.242866	103.3279529	93.79152546	73.79143531	75.07624326	94.42661707	105.2583072	92.79113941	137.2094597	124.5421736	68.87037061	75.52375551	64.45957854	66.27674476
Zc3h11a	134.4372036	215.085985	197.7629598	213.7793162	200.7832554	142.5105685	142.7161241	210.5112848	304.3852264	300.8039123	308.5009981	242.4938837	304.3477092	227.5018907
Hdac4	9.078002167	20.01965092	8.939279252	4.009174283	2.783803317	3.456281516	4.125345734	26.69007599	42.95158955	14.94448354	4.859667822	4.182285831	9.124801904	9.259107208
Skiv2l	75.36779839	62.78884694	75.86483173	67.92384674	72.0145038	68.30311987	51.86893613	95.51791296	133.4927109	86.35979436	100.5579802	99.63768494	77.49200666	92.02760429
Sri	211.5384253	180.263686	184.9629034	174.5867732	186.7983917	184.537391	187.2569619	111.4009217	126.413544	144.9065944	142.0459744	128.7143501	156.3764645	163.0370096
Xpnpep1	73.33778374	166.8214817	62.22000732	66.52074753	41.85201607	49.71569166	56.43648895	55.89941331	96.10522053	46.67647311	45.79460498	31.36768115	46.94823211	45.77651087
