ENSG	R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30
ENSG00000110881	10.9578588732	10.833860636	10.7095721087	10.4582760862	9.4386863331	10.2583146026	11.0041271602	11.5537056309	10.8727909472	10.7924724153	10.712315739	10.5522168389	9.674588107	9.6743998011	11.0061186751	11.5055132528
ENSG00000143669	6.4902089114	6.6287608348	6.7686531252	7.05404821	7.6043582057	7.4843322981	7.2267096642	7.0116736785	6.3789431205	6.5640780031	6.7482130388	7.116495875	7.2127987023	7.0797531985	6.8212497503	6.6020449702
ENSG00000176007	4.1969747127	4.161130137	4.1247575133	4.0533713535	4.4726271188	4.0475915455	3.7937399817	3.6277958385	3.7456312252	3.7689682139	3.7921668977	3.8389735473	3.7936967271	3.8980052813	3.8685295991	3.8331740454
ENSG00000114735	5.2633853041	5.4369092576	5.6134005038	5.9793977094	5.8756134565	6.1346046725	6.1616285346	6.1536973185	5.027438956	4.9257979114	4.8244199039	4.6255450423	5.9054730151	6.0569052624	6.0138077627	5.9687537607
ENSG00000167550	8.9726600294	9.0757618896	9.1783335819	9.3828935361	10.8854386042	10.4145026408	9.9298012389	9.5436718902	9.1093081156	9.2474658222	9.3854128693	9.6624558662	10.7383189537	10.2239949957	9.8581690499	9.5888287379
ENSG00000167106	12.1182696525	12.0898284851	12.0621933803	12.0111116912	12.8612365994	12.770906189	13.0034374143	13.1242388557	12.1557225992	12.0074462513	11.8592575505	11.5640745559	13.5346486044	13.1304254192	12.7836627033	12.5290138686
ENSG00000136531	4.0496093904	4.1241484911	4.1992216085	4.3496477002	4.6374991965	4.1900722088	4.0934015747	4.0560507117	4.0822697697	4.0485225616	4.0148770662	3.949107746	3.7300052746	4.0218051179	4.0381488733	4.089667843
ENSG00000142694	3.9667250352	4.1055797137	4.2444343922	4.5221437492	4.4147718891	4.2503171372	4.0779412659	3.9474551881	4.1209099241	4.2210024359	4.3206411279	4.5195724099	3.8346009537	4.2817482516	4.5235060313	4.7054054357
ENSG00000148935	4.0765381825	4.0666633124	4.0571651684	4.0397633092	3.8524315966	3.8853114026	3.8894071834	3.8897843194	4.1250895514	4.1405323388	4.1558532351	4.1862924573	4.0041416142	3.9185295032	3.9630675183	4.0086126363
ENSG00000149651	4.4606672422	4.3238384182	4.1866421419	3.9126231946	4.5812691498	4.1939757126	4.0885621995	4.0451595715	4.1238428115	4.1110182399	4.0981936682	4.0725445249	3.908351304	4.1586402259	4.2268283746	4.2580872359
